scenario,policy,origin_week,target_week,horizon,category,region,planned_shortage
base,last_week,2018-05-28,2018-05-28,1,watches_gifts,Southeast,0.0
base,last_week,2018-05-28,2018-06-04,2,watches_gifts,Southeast,0.0
base,last_week,2018-05-28,2018-06-11,3,watches_gifts,Southeast,0.0
base,last_week,2018-05-28,2018-06-18,4,watches_gifts,Southeast,0.0
base,last_week,2018-06-04,2018-06-04,1,auto,Central-West,0.0
base,last_week,2018-06-04,2018-06-11,2,auto,Central-West,0.0
base,last_week,2018-06-04,2018-06-18,3,auto,Central-West,0.0
base,last_week,2018-06-04,2018-06-25,4,auto,Central-West,0.0
base,last_week,2018-06-04,2018-06-04,1,auto,North,0.0
base,last_week,2018-06-04,2018-06-11,2,auto,North,0.0
base,last_week,2018-06-04,2018-06-18,3,auto,North,0.0
base,last_week,2018-06-04,2018-06-25,4,auto,North,0.0
base,last_week,2018-06-04,2018-06-04,1,auto,Northeast,0.0
base,last_week,2018-06-04,2018-06-11,2,auto,Northeast,0.0
base,last_week,2018-06-04,2018-06-18,3,auto,Northeast,0.0
base,last_week,2018-06-04,2018-06-25,4,auto,Northeast,0.0
base,last_week,2018-06-04,2018-06-04,1,auto,South,0.0
base,last_week,2018-06-04,2018-06-11,2,auto,South,0.0
base,last_week,2018-06-04,2018-06-18,3,auto,South,0.0
base,last_week,2018-06-04,2018-06-25,4,auto,South,0.0
base,last_week,2018-06-04,2018-06-04,1,auto,Southeast,0.0
base,last_week,2018-06-04,2018-06-11,2,auto,Southeast,0.0
base,last_week,2018-06-04,2018-06-18,3,auto,Southeast,0.0
base,last_week,2018-06-04,2018-06-25,4,auto,Southeast,0.0
base,last_week,2018-06-04,2018-06-04,1,bed_bath_table,Central-West,0.0
base,last_week,2018-06-04,2018-06-11,2,bed_bath_table,Central-West,0.0
base,last_week,2018-06-04,2018-06-18,3,bed_bath_table,Central-West,0.0
base,last_week,2018-06-04,2018-06-25,4,bed_bath_table,Central-West,0.0
base,last_week,2018-06-04,2018-06-04,1,bed_bath_table,North,0.0
base,last_week,2018-06-04,2018-06-11,2,bed_bath_table,North,0.0
base,last_week,2018-06-04,2018-06-18,3,bed_bath_table,North,0.0
base,last_week,2018-06-04,2018-06-25,4,bed_bath_table,North,0.0
base,last_week,2018-06-04,2018-06-04,1,bed_bath_table,Northeast,0.0
base,last_week,2018-06-04,2018-06-11,2,bed_bath_table,Northeast,0.0
base,last_week,2018-06-04,2018-06-18,3,bed_bath_table,Northeast,0.0
base,last_week,2018-06-04,2018-06-25,4,bed_bath_table,Northeast,0.0
base,last_week,2018-06-04,2018-06-04,1,bed_bath_table,South,0.0
base,last_week,2018-06-04,2018-06-11,2,bed_bath_table,South,0.0
base,last_week,2018-06-04,2018-06-18,3,bed_bath_table,South,0.0
base,last_week,2018-06-04,2018-06-25,4,bed_bath_table,South,0.0
base,last_week,2018-06-04,2018-06-04,1,bed_bath_table,Southeast,0.0
base,last_week,2018-06-04,2018-06-11,2,bed_bath_table,Southeast,0.0
base,last_week,2018-06-04,2018-06-18,3,bed_bath_table,Southeast,0.0
base,last_week,2018-06-04,2018-06-25,4,bed_bath_table,Southeast,0.0
base,last_week,2018-06-04,2018-06-04,1,computers_accessories,Central-West,0.0
base,last_week,2018-06-04,2018-06-11,2,computers_accessories,Central-West,0.0
base,last_week,2018-06-04,2018-06-18,3,computers_accessories,Central-West,0.0
base,last_week,2018-06-04,2018-06-25,4,computers_accessories,Central-West,0.0
base,last_week,2018-06-04,2018-06-04,1,computers_accessories,North,0.0
base,last_week,2018-06-04,2018-06-11,2,computers_accessories,North,0.0
base,last_week,2018-06-04,2018-06-18,3,computers_accessories,North,0.0
base,last_week,2018-06-04,2018-06-25,4,computers_accessories,North,0.0
base,last_week,2018-06-04,2018-06-04,1,computers_accessories,Northeast,0.0
base,last_week,2018-06-04,2018-06-11,2,computers_accessories,Northeast,0.0
base,last_week,2018-06-04,2018-06-18,3,computers_accessories,Northeast,0.0
base,last_week,2018-06-04,2018-06-25,4,computers_accessories,Northeast,0.0
