scenario,policy,origin_week,target_week,horizon,hub,category,quantity
base,last_week,2018-06-04,2018-06-04,1,PR,housewares,16.0
base,last_week,2018-06-04,2018-06-11,2,PR,housewares,16.0
base,last_week,2018-06-04,2018-06-18,3,PR,housewares,16.0
base,last_week,2018-06-04,2018-06-25,4,PR,housewares,0.0
base,last_week,2018-06-04,2018-06-04,1,PR,sports_leisure,1.0
base,last_week,2018-06-04,2018-06-11,2,PR,sports_leisure,6.0
base,last_week,2018-06-04,2018-06-18,3,PR,sports_leisure,6.0
base,last_week,2018-06-04,2018-06-25,4,PR,sports_leisure,0.0
base,last_week,2018-06-04,2018-06-04,1,PR,telephony,0.0
base,last_week,2018-06-04,2018-06-11,2,PR,telephony,0.0
base,last_week,2018-06-04,2018-06-18,3,PR,telephony,0.0
base,last_week,2018-06-04,2018-06-25,4,PR,telephony,0.0
base,last_week,2018-06-04,2018-06-04,1,PR,watches_gifts,8.0
base,last_week,2018-06-04,2018-06-11,2,PR,watches_gifts,8.0
base,last_week,2018-06-04,2018-06-18,3,PR,watches_gifts,8.0
base,last_week,2018-06-04,2018-06-25,4,PR,watches_gifts,0.0
base,last_week,2018-06-04,2018-06-04,1,RJ,auto,6.0
base,last_week,2018-06-04,2018-06-11,2,RJ,auto,6.0
base,last_week,2018-06-04,2018-06-18,3,RJ,auto,6.0
base,last_week,2018-06-04,2018-06-25,4,RJ,auto,0.0
base,last_week,2018-06-04,2018-06-04,1,RJ,bed_bath_table,10.0
base,last_week,2018-06-04,2018-06-11,2,RJ,bed_bath_table,10.0
base,last_week,2018-06-04,2018-06-18,3,RJ,bed_bath_table,10.0
base,last_week,2018-06-04,2018-06-25,4,RJ,bed_bath_table,0.0
base,last_week,2018-06-04,2018-06-04,1,RJ,computers_accessories,0.0
base,last_week,2018-06-04,2018-06-11,2,RJ,computers_accessories,0.0
base,last_week,2018-06-04,2018-06-18,3,RJ,computers_accessories,0.0
base,last_week,2018-06-04,2018-06-25,4,RJ,computers_accessories,0.0
base,last_week,2018-06-04,2018-06-04,1,RJ,furniture_decor,5.0
base,last_week,2018-06-04,2018-06-11,2,RJ,furniture_decor,5.0
base,last_week,2018-06-04,2018-06-18,3,RJ,furniture_decor,5.0
base,last_week,2018-06-04,2018-06-25,4,RJ,furniture_decor,0.0
base,last_week,2018-06-04,2018-06-04,1,RJ,garden_tools,4.0
base,last_week,2018-06-04,2018-06-11,2,RJ,garden_tools,4.0
base,last_week,2018-06-04,2018-06-18,3,RJ,garden_tools,4.0
base,last_week,2018-06-04,2018-06-25,4,RJ,garden_tools,0.0
base,last_week,2018-06-04,2018-06-04,1,RJ,health_beauty,0.0
base,last_week,2018-06-04,2018-06-11,2,RJ,health_beauty,0.0
base,last_week,2018-06-04,2018-06-18,3,RJ,health_beauty,0.0
base,last_week,2018-06-04,2018-06-25,4,RJ,health_beauty,0.0
base,last_week,2018-06-04,2018-06-04,1,RJ,housewares,8.0
base,last_week,2018-06-04,2018-06-11,2,RJ,housewares,8.0
base,last_week,2018-06-04,2018-06-18,3,RJ,housewares,8.0
base,last_week,2018-06-04,2018-06-25,4,RJ,housewares,0.0
base,last_week,2018-06-04,2018-06-04,1,RJ,sports_leisure,12.0
base,last_week,2018-06-04,2018-06-11,2,RJ,sports_leisure,12.0
base,last_week,2018-06-04,2018-06-18,3,RJ,sports_leisure,12.0
base,last_week,2018-06-04,2018-06-25,4,RJ,sports_leisure,0.0
base,last_week,2018-06-04,2018-06-04,1,RJ,telephony,6.0
base,last_week,2018-06-04,2018-06-11,2,RJ,telephony,6.0
base,last_week,2018-06-04,2018-06-18,3,RJ,telephony,6.0
base,last_week,2018-06-04,2018-06-25,4,RJ,telephony,0.0
base,last_week,2018-06-04,2018-06-04,1,RJ,watches_gifts,0.0
base,last_week,2018-06-04,2018-06-11,2,RJ,watches_gifts,0.0
base,last_week,2018-06-04,2018-06-18,3,RJ,watches_gifts,0.0
base,last_week,2018-06-04,2018-06-25,4,RJ,watches_gifts,0.0
base,last_week,2018-06-04,2018-06-04,1,RS,auto,3.0
base,last_week,2018-06-04,2018-06-11,2,RS,auto,3.0
base,last_week,2018-06-04,2018-06-18,3,RS,auto,3.0
base,last_week,2018-06-04,2018-06-25,4,RS,auto,0.0
base,last_week,2018-06-04,2018-06-04,1,RS,bed_bath_table,6.0
base,last_week,2018-06-04,2018-06-11,2,RS,bed_bath_table,6.0
base,last_week,2018-06-04,2018-06-18,3,RS,bed_bath_table,6.0
base,last_week,2018-06-04,2018-06-25,4,RS,bed_bath_table,0.0
base,last_week,2018-06-04,2018-06-04,1,RS,computers_accessories,0.0
base,last_week,2018-06-04,2018-06-11,2,RS,computers_accessories,0.0
base,last_week,2018-06-04,2018-06-18,3,RS,computers_accessories,0.0
base,last_week,2018-06-04,2018-06-25,4,RS,computers_accessories,0.0
base,last_week,2018-06-04,2018-06-04,1,RS,furniture_decor,5.0
base,last_week,2018-06-04,2018-06-11,2,RS,furniture_decor,5.0
base,last_week,2018-06-04,2018-06-18,3,RS,furniture_decor,5.0
base,last_week,2018-06-04,2018-06-25,4,RS,furniture_decor,0.0
base,last_week,2018-06-04,2018-06-04,1,RS,garden_tools,1.0
base,last_week,2018-06-04,2018-06-11,2,RS,garden_tools,2.0
base,last_week,2018-06-04,2018-06-18,3,RS,garden_tools,2.0
base,last_week,2018-06-04,2018-06-25,4,RS,garden_tools,0.0
base,last_week,2018-06-04,2018-06-04,1,RS,health_beauty,8.0
base,last_week,2018-06-04,2018-06-11,2,RS,health_beauty,8.0
base,last_week,2018-06-04,2018-06-18,3,RS,health_beauty,8.0
base,last_week,2018-06-04,2018-06-25,4,RS,health_beauty,0.0
base,last_week,2018-06-04,2018-06-04,1,RS,housewares,0.0
base,last_week,2018-06-04,2018-06-11,2,RS,housewares,0.0
base,last_week,2018-06-04,2018-06-18,3,RS,housewares,0.0
base,last_week,2018-06-04,2018-06-25,4,RS,housewares,0.0
base,last_week,2018-06-04,2018-06-04,1,RS,sports_leisure,0.0
base,last_week,2018-06-04,2018-06-11,2,RS,sports_leisure,0.0
base,last_week,2018-06-04,2018-06-18,3,RS,sports_leisure,0.0
base,last_week,2018-06-04,2018-06-25,4,RS,sports_leisure,0.0
base,last_week,2018-06-04,2018-06-04,1,RS,telephony,5.0
base,last_week,2018-06-04,2018-06-11,2,RS,telephony,5.0
base,last_week,2018-06-04,2018-06-18,3,RS,telephony,5.0
